指令,频次,类别
movq,17654,双参指令
callq,4893,单参指令
leaq,4202,双参指令
popq,3453,单参指令
pushq,3332,单参指令
movl,3316,双参指令
je,2085,单参指令
jmp,1575,单参指令
addq,1379,双参指令
cmpq,1303,双参指令
jne,1288,单参指令
testb,1246,双参指令
xorl,1211,双参指令
movb,876,双参指令
callq,868,双参指令
testq,867,双参指令
retq,783,无参指令
subq,678,双参指令
cmpl,677,双参指令
cmpb,615,双参指令
nop,585,无参指令
je,560,双参指令
testl,498,双参指令
movaps,400,双参指令
movzbl,354,双参指令
jmp,330,双参指令
cmovneq,323,双参指令
setne,311,单参指令
subl,276,双参指令
lock,276,无参指令
incq,252,单参指令
shrq,235,单参指令
.byte,222,三参指令
movabsq,171,双参指令
movsbl,161,双参指令
jne,156,双参指令
cmoveq,156,双参指令
andb,141,双参指令
jmpq,139,单参指令
sarq,135,双参指令
jb,126,单参指令
xorps,124,双参指令
ja,124,单参指令
jae,108,单参指令
andl,105,双参指令
addl,104,双参指令
decq,102,单参指令
movslq,100,双参指令
incl,97,单参指令
leal,96,双参指令
shlq,95,双参指令
decl,85,单参指令
orq,81,双参指令
shrq,79,双参指令
andq,78,双参指令
jle,76,单参指令
movups,66,双参指令
imulq,65,双参指令
sete,63,单参指令
addb,63,双参指令
movw,62,双参指令
movsbq,60,双参指令
js,59,单参指令
movsd,42,双参指令
jns,41,单参指令
jbe,41,单参指令
setb,41,单参指令
jl,39,单参指令
nopw,39,单参指令
jg,38,单参指令
sarl,38,双参指令
seta,32,单参指令
orl,30,双参指令
decb,30,单参指令
movzwl,29,双参指令
shrl,29,双参指令
nopl,24,单参指令
movswl,24,双参指令
movdqa,23,双参指令
shll,23,双参指令
movdqu,23,双参指令
cmovbq,23,双参指令
mulq,23,单参指令
notq,22,单参指令
imulq,22,三参指令
movapd,22,双参指令
orb,21,双参指令
ja,20,双参指令
jb,18,双参指令
cltq,18,无参指令
jle,15,双参指令
jge,15,单参指令
ljmpl,14,单参指令
btq,14,双参指令
jl,13,双参指令
cmovaq,13,双参指令
cld,13,无参指令
punpcklqdq,12,双参指令
testw,12,双参指令
xorpd,12,双参指令
jbe,11,双参指令
jae,11,双参指令
negq,11,单参指令
std,11,无参指令
lcalll,11,单参指令
sarq,10,单参指令
cmovnel,9,双参指令
callq,8,三参指令
cmovel,8,双参指令
negl,7,单参指令
imull,7,双参指令
cmovsq,7,双参指令
sti,7,无参指令
adcq,7,双参指令
xaddq,7,双参指令
incb,7,单参指令
js,6,双参指令
xorb,6,双参指令
xorq,6,双参指令
por,6,双参指令
subsd,6,双参指令
ucomisd,5,双参指令
imull,5,三参指令
cmovbeq,5,双参指令
cmovaeq,5,双参指令
rep,5,三参指令
notl,4,单参指令
jo,4,单参指令
imulq,4,单参指令
pshufd,4,三参指令
shldq,4,三参指令
jns,3,双参指令
cmovbl,3,双参指令
setbe,3,单参指令
cltd,3,无参指令
idivl,3,单参指令
fdivr,3,单参指令
cvtss2sd,3,双参指令
setl,3,单参指令
pxor,3,双参指令
jmp,2,三参指令
cmpw,2,双参指令
shrb,2,双参指令
setg,2,单参指令
ud2,2,无参指令
shrl,2,单参指令
divq,2,单参指令
jge,2,双参指令
xaddl,2,双参指令
cmovael,2,双参指令
shlb,2,双参指令
subb,2,双参指令
psrlq,2,双参指令
psllq,2,双参指令
shrdq,2,三参指令
maxsd,2,双参指令
addsd,2,双参指令
mulsd,2,双参指令
cvtsd2ss,2,双参指令
shrb,1,单参指令
cmovnsq,1,双参指令
jno,1,双参指令
cmovgq,1,双参指令
setns,1,单参指令
cmovbel,1,双参指令
sets,1,单参指令
cmovgel,1,双参指令
seto,1,单参指令
lahf,1,无参指令
sahf,1,无参指令
cmpxchgl,1,双参指令
cli,1,无参指令
frndint,1,无参指令
cmovlq,1,双参指令
paddq,1,双参指令
adcb,1,双参指令
cvtsi2sdq,1,双参指令
divsd,1,双参指令
cmovnew,1,双参指令
cmovgl,1,双参指令
setae,1,单参指令
cmovgew,1,双参指令
addw,1,双参指令
cwtl,1,无参指令
decw,1,单参指令
setge,1,单参指令
